,name,salary,rating,numOfrates
305,brighttalk,102184.0,4.5,6.0
306,brightcove,73933.7741935484,3.6666666666666683,3.0
307,brightstar,94631.0,2.0,4.0
308,bristol-myers squibb,75249.69696969698,4.0,5.0
309,british american tobacco,69708.39,4.36363636363637,44.0
310,british council,82674.5,3.4705882352941178,17.0
311,british gas,84980.0,3.9852941176470584,68.0
312,british red cross,46207.0,2.9444444444444446,18.0
313,broadcom,71063.56,3.75,8.0
314,broadridge,45716.88888888889,2.75,4.0
315,bromford,46073.0,4.678571428571429,28.0
316,brook street,53177.6,2.8666666666666667,15.0
317,brookson,43909.0,4.0,7.0
318,brose,78029.64285714286,3.0,2.0
319,bryan cave leighton paisner,65065.0,3.6666666666666665,3.0
320,bulb,104164.25,4.0,5.0
322,bupa,93004.0,3.571428571428572,65.0
323,burberry,76352.75862068965,3.705882352941175,85.0
324,bureau veritas,63262.63636363636,3.0,6.0
325,burger king,105427.0,2.607142857142857,28.0
326,burohappold,108351.33333333333,3.5882352941176463,17.0
327,business intelligence | informa,34223.333333333336,2.5,6.0
328,buzzfeed,104378.0,3.6666666666666665,3.0
329,byrnelooby,62799.0,3.0,2.0
330,bühler,102619.0,2.6666666666666665,3.0
331,c4s search,101889.0,5.0,2.0
332,caci (uk),84926.83333333333,2.631578947368421,19.0
333,caci international,79992.82857142857,4.5,2.0
334,cacib,77193.32142857143,3.875,8.0
335,cae,66638.3,3.0,2.0
336,calvin klein,75037.93548387097,3.0,8.0
337,cbre,66712.25423728813,3.269230769230772,26.220338983050848
338,cdk global,72396.70833333333,4.333333333333332,3.0
339,ceva logistics,73225.5,3.1666666666666665,6.0
340,cgg,86472.0,3.6363636363636354,11.0
341,cgi,65116.833333333336,3.5660377358490547,53.0
342,ch&cie,63939.333333333336,3.3333333333333335,3.0
343,chep,76802.24489795919,4.0,4.0
344,cibc,76148.25,5.0,2.0
345,cibt,53923.0,2.0,2.0
346,cmc markets,107468.0,3.6,5.0
347,cme group,69677.46153846153,4.153846153846153,13.0
348,cnh industrial,86366.42857142857,3.25,4.0
349,cnl software,93645.0,1.7142857142857142,7.0
350,cpa global,87458.0,4.25,8.0
351,cps group,86644.9,3.333333333333333,3.0
352,crf health,58736.2,2.25,4.0
